english_name,Characteristic,cuisine,category,English_ingredient,description, vegetarians,allergy,keywords,temp,Calories
Jjimdak (Braised Chicken),"['Sweet', 'soft']",Korean,"['rice', 'meat']","['Chicken', 'vermicelli', 'carrots', 'onions', 'potatoes', 'leeks']","Jjimdak, or Braised Chicken, is a popular Korean dish made by simmering chicken pieces with a savory-sweet sauce until tender and flavorful. The dish features a sauce based on soy sauce, garlic, ginger, and sugar, which is often spiced with gochugaru (Korean chili flakes) or whole dried chili peppers to add a mild heat. The chicken is braised with a variety of vegetables like carrots, potatoes, onions, and green onions, along with glass noodles (dangmyeon), which soak up the rich sauce and add a chewy texture. The result is a glossy, flavorful dish with a satisfying balance of sweet, savory, and slightly spicy flavors. Jjimdak is typically garnished with sesame seeds and served with steamed rice, making it a hearty, comforting meal perfect for sharing.",0,[],"['jjimdak', 'ginger', 'onion', 'dangmyeon', 'carrot', 'seed', 'add', 'chicken', 'potato', 'Jjimdak', 'chili', 'sugar', 'vegetable', 'sesame', 'pepper', 'Braised Chicken', 'Korean', 'sharing', 'sauce', 'tender', 'rice', 'soak']",warm,600
Gyudon (Beef Bowl),"['Sweet', 'salty', 'soft', 'nutty']",Japanese,"['rice', 'meat']","['Ursam', 'onion']","Gyudon, or Beef Bowl, is a classic Japanese dish featuring thinly sliced beef and onions simmered in a mildly sweet, savory sauce, then served over a bowl of steamed rice. The sauce is typically made from a blend of soy sauce, mirin, sake, and sugar, which creates a glossy, flavorful coating for the beef and onions. The dish is often garnished with beni shoga (pickled red ginger) and sliced green onions to add color and a hint of tanginess, and a sprinkle of shichimi togarashi (Japanese seven-spice) for a touch of heat. Sometimes, a raw or soft-cooked egg is added on top, which, when mixed in, adds a rich, creamy texture to the dish. Gyudon is a beloved, comforting meal known for its quick preparation and satisfying blend of sweet and savory flavors.",0,[],"['ginger', 'coating', 'onion', 'egg', 'shichimi togarashi', 'Gyudon', 'blend', 'beef', 'add', 'sprinkle', 'tanginess', 'Beef Bowl', 'sugar', 'hint', 'rice', 'seven', 'mirin', 'soy', 'gyudon', 'shoga', 'sauce', 'Japanese', 'color']",warm,600
Chashu Don (Pork Bowl),"['Sweet', 'nutty', 'soft']",Japanese,"['rice', 'meat']","['Egg', 'salt', 'pork', 'onion', 'rice']","Chashu Don, or Pork Bowl, is a Japanese rice bowl dish featuring tender slices of chashu (braised pork) served atop a bed of steamed rice. The chashu is typically made by slow-cooking pork belly in a savory-sweet marinade of soy sauce, mirin, sake, and sugar, which infuses the meat with a rich, caramelized flavor and a melt-in-your-mouth texture. The dish is often garnished with green onions, nori (seaweed), and a soft-boiled egg, which adds creaminess when mixed into the rice. Sometimes, sesame seeds and a drizzle of sauce from the braising liquid are added to enhance the depth of flavor. Chashu Don is a comforting, hearty meal with a satisfying balance of savory and slightly sweet flavors, making it a popular choice for pork lovers.",0,['eggs'],"['bed', 'chashu', 'Pork Bowl', 'onion', 'egg', 'infuses', 'seed', 'seaweed', 'pork', 'meat', 'drizzle', 'depth', 'sugar', 'mirin', 'liquid', 'creaminess', 'tender', 'sauce', 'Japanese', 'rice', 'Chashu Don']",warm,700
Katsudon (Pork Cutlet Bowl),"['Crispy', 'nutty', 'sweet', 'soft']",Japanese,"['rice', 'meat', 'fried']","['Pork cutlet', 'rice', 'onion', 'eggs', 'kelp']","Katsudon, or Pork Cutlet Bowl, is a classic Japanese dish featuring a crispy breaded pork cutlet served over a bowl of steamed rice, topped with a savory-sweet sauce and egg. The pork cutlet, or tonkatsu, is breaded with panko breadcrumbs and fried until golden and crispy. It’s then simmered briefly in a sauce made from dashi (Japanese soup stock), soy sauce, mirin, and a touch of sugar, creating a flavorful broth that infuses the pork. A beaten egg is poured over the cutlet and cooked until just set, creating a tender, custardy layer that brings the ingredients together. Katsudon is often garnished with sliced green onions and served hot, with the rich sauce soaking slightly into the rice below. Known for its satisfying combination of textures and flavors—crispy, savory, slightly sweet, and creamy—Katsudon is a beloved comfort food in Japan.",0,['eggs'],"['Japan', 'onion', 'Pork Cutlet Bowl', 'egg', 'custardy', 'infuses', 'pork', 'japan', 'food', 'cutlet', 'breadcrumb', 'Katsudon', 'soup', 'crispy', 'sugar', 'dashi', 'tonkatsu', 'mirin', 'soy', 'stock', 'sauce', 'tender', 'Japanese', 'rice', 'katsudon', 'broth']",warm,800
Sake Don (Salmon Rice Bowl),"['Nutty', 'mild']",Japanese,"['rice', 'seafood', 'raw']","['Raw salmon', 'onion', 'chopped garlic', 'wasabi']","Sake Don, or Salmon Rice Bowl, is a Japanese dish featuring slices of fresh, raw salmon served over a bed of steamed rice. The salmon is often sliced sashimi-style, highlighting its tender, buttery texture and delicate flavor. The rice bowl is typically garnished with thinly sliced green onions, shredded nori (seaweed), and sesame seeds, adding color and a subtle crunch. Sometimes, ikura (salmon roe) is added on top for an extra burst of briny flavor that complements the salmon. A small amount of wasabi and soy sauce is often served on the side, allowing diners to add seasoning as desired. Sake Don is celebrated for its simple, fresh ingredients and the clean, satisfying flavors of the salmon and rice, making it a popular choice among sushi and sashimi lovers.",0,[],"['wasabi', 'complement', 'bed', 'burst', 'onion', 'briny', 'seed', 'seaweed', 'sashimi', 'roe', 'salmon', 'buttery', 'rice', 'sesame', 'soy', 'sake', 'tender', 'sauce', 'diner', 'Salmon Rice Bowl', 'Japanese', 'color', 'Don']",warm,600
Chicken Mayo Rice Bowl,"['Nutty', 'sweet']",Korean,"['rice', 'meat', 'fried']","['Salmal chicken', 'onion', 'eggs', 'gimryu', 'mayonnaise', 'green onion']","Chicken Mayo Rice Bowl is a comforting Japanese-inspired dish featuring tender pieces of cooked chicken served over a bed of steamed rice and topped with a creamy mayonnaise-based sauce. The chicken, often grilled or fried, is seasoned with soy sauce or teriyaki sauce, giving it a savory, slightly sweet flavor that pairs well with the richness of the mayo. The dish is commonly garnished with chopped green onions and a sprinkle of sesame seeds for extra flavor and texture. Sometimes, a drizzle of soy sauce or a touch of wasabi is added to balance the creamy, tangy mayo. Chicken Mayo Rice Bowl is a popular choice for its hearty, satisfying combination of flavors and ease of preparation.",0,['eggs'],"['wasabi', 'bed', 'onion', 'mayo', 'creamy', 'seed', 'ease', 'sprinkle', 'chicken', 'teriyaki', 'hearty', 'sesame', 'soy', 'tender', 'sauce', 'Japanese', 'tangy', 'rice']",warm,650
Samgyeopsal Rice Bowl (Pork Belly Rice Bowl),"['Nutty', 'mild', 'crispy']",Korean,"['rice', 'meat']","['Pork belly', 'onion', 'cabbage', 'eggs']","Samgyeopsal Rice Bowl, or Pork Belly Rice Bowl, is a Korean-inspired dish featuring juicy, grilled slices of pork belly served over a bed of steamed rice. The pork belly, typically seasoned with salt and pepper, is grilled until golden and crispy on the edges, releasing a rich, savory flavor. Often, the dish is complemented with a variety of toppings such as fresh green onions, thinly sliced garlic, sesame seeds, and a drizzle of sesame oil for added aroma. A touch of gochujang (Korean chili paste) or ssamjang (a savory-sweet dipping sauce) is sometimes added for a bit of heat and depth. Kimchi or other pickled vegetables may accompany the bowl, providing a tangy contrast to the rich pork. This hearty, satisfying dish brings together the bold, savory flavors of Korean barbecue in a convenient rice bowl format, perfect for a comforting meal.",0,['eggs'],"['bit', 'touch', 'bed', 'salt', 'onion', 'Kimchi', 'Samgyeopsal Rice Bowl', 'oil', 'seed', 'pork', 'paste', 'kimchi', 'drizzle', 'chili', 'samgyeopsal', 'depth', 'brings', 'crispy', 'hearty', 'sesame', 'barbecue', 'contrast', 'pepper', 'aroma', 'Korean', 'sauce', 'format', 'rice', 'Pork Belly Rice Bowl']",warm,800
Jeyuk Deopbap (Spicy Pork Rice Bowl),"['Spicy', 'nutty', 'sweet']",Korean,"['rice', 'meat']","['Rice', 'pork', 'onions', 'carrots', 'shiitake', 'leek', 'cheongyang pepper', 'red pepper']","Jeyuk Deopbap, or Spicy Pork Rice Bowl, is a popular Korean dish featuring marinated, stir-fried pork served over a bowl of steamed rice. The pork is thinly sliced and marinated in a savory-spicy mixture made from gochujang (Korean chili paste), gochugaru (Korean chili flakes), soy sauce, garlic, ginger, and a touch of sugar for balance. This marinade gives the pork a deep, bold flavor with a hint of sweetness. The dish is often stir-fried with onions, carrots, and green onions, which add crunch and sweetness to the spicy pork. Jeyuk Deopbap is commonly garnished with sesame seeds and thinly sliced green onions, and sometimes served with a side of kimchi or pickled radishes to balance the heat. Known for its robust flavors and satisfying spice, this rice bowl is a favorite among Korean food lovers for its delicious combination of savory, spicy, and slightly sweet elements.",0,[],"['ginger', 'onion', 'deopbap', 'spicy', 'seed', 'carrot', 'sweetness', 'pork', 'paste', 'kimchi', 'food', 'jeyuk', 'mixture', 'chili', 'sugar', 'hint', 'Jeyuk Deopbap', 'Korean', 'sauce', 'Spicy Pork Rice Bowl', 'rice']",warm,700
Curry Rice,"['Sweet', 'spicy']",Korean,['rice'],"['Pork', 'potatoes (middle)', 'onions (large)', 'carrots (large)']","Curry Rice, or Kare Raisu, is a popular Japanese dish featuring a thick, mildly spiced curry served over a bed of steamed rice. Japanese curry is typically made with a rich, savory-sweet sauce created from curry roux blocks, which are a blend of spices, flour, and fats that melt into the pot to thicken the dish. Common ingredients include tender chunks of potatoes, carrots, and onions, along with meat such as chicken, beef, or pork, all simmered until they absorb the curry’s flavorful sauce. Japanese curry has a milder and slightly sweeter taste compared to Indian or Thai curries, often seasoned with ingredients like soy sauce and a touch of honey or grated apple for depth. Curry Rice is typically served with a side of fukujinzuke (sweet pickled radish) or rakkyo (pickled shallots) for a touch of acidity. This comforting dish is loved for its warm, hearty flavors and is enjoyed year-round as a filling, satisfying meal.",0,[],"['year-round', 'Indian', 'bed', 'shallot', 'honey', 'spice', 'onion', 'rakkyo', 'sweet', 'blend', 'beef', 'carrot', 'kare', 'pork', 'melt', 'curry', 'chicken', 'potato', 'pot', 'meat', 'roux', 'Curry Rice', 'Thai', 'depth', 'block', 'hearty', 'apple', 'acidity', 'soy', 'chunk', 'Kare Raisu', 'sauce', 'thai', 'Japanese', 'rice']",warm,800
Spam Kimchi  Fried Rice,"['Salty', 'nutty', 'spicy', 'crispy']",Korean,"['rice', 'meat']","['Kimchi', 'spam', 'rice']","Spam Kimchi Fried Rice is a flavorful Korean-inspired dish where spicy, tangy kimchi and savory Spam are stir-fried with rice to create a balanced, hearty meal. The dish begins with diced Spam and chopped kimchi, which are stir-fried together until the Spam is crispy and the kimchi releases its juices, adding a slightly sour, spicy kick. Cooked rice is then added to the pan along with a bit of gochujang (Korean chili paste) for depth and extra heat, while a dash of sesame oil brings a rich, nutty aroma. Often, vegetables like onions, green onions, or carrots are added for texture and color. The dish is typically garnished with sesame seeds and a fried egg on top, adding creaminess to each bite. Spam Kimchi Fried Rice is loved for its bold flavors and comforting qualities, making it a popular and easy meal option.",0,[],"['bit', 'release', 'onion', 'egg', 'spicy', 'seed', 'carrot', 'Spam', 'paste', 'kimchi', 'depth', 'chili', 'crispy', 'rice', 'sesame', 'juice', 'dash', 'spam', 'aroma', 'Korean', 'bite', 'pan', 'creaminess', 'tangy', 'color', 'kick', 'oil']",warm,650
Japanese Ramen,['soft'],Japanese,"['noodle', 'soup']","['Ramen', 'green onions', 'cheongyang pepper']","Ramen is a beloved Japanese noodle soup featuring a rich, flavorful broth, chewy wheat noodles, and a variety of toppings. The broth is the soul of the dish, with types that range from creamy and savory tonkotsu (pork bone) to the lighter, clear shoyu (soy sauce) and shio (salt) varieties, and the hearty miso-based ramen popular in colder regions. Each style brings its own depth and character to the dish. Ramen is typically garnished with sliced chashu (braised pork), soft-boiled eggs with custardy yolks, nori (seaweed), green onions, and bamboo shoots, adding layers of texture and flavor. Sometimes additional toppings like corn, butter, or spicy chili oil are included to enhance the dish. With its comforting, umami-rich flavors, ramen is enjoyed as both a quick meal and a gourmet experience, appreciated for its perfect balance of broth, noodles, and toppings.",1,[],"['salt', 'colder', 'ramen', 'yolk', 'chashu', 'Ramen', 'onion', 'egg', 'custardy', 'tonkotsu', 'gourmet', 'spicy', 'seaweed', 'pork', 'lighter', 'character', 'shoyu', 'bamboo', 'chili', 'soup', 'hearty', 'region', 'bone', 'soy', 'wheat', 'corn', 'sauce', 'shio', 'Japanese', 'chewy', 'butter', 'broth', 'oil']",warm,500
Sushi,"['Nutty', 'mild']",Japanese,"['rice', 'seafood', 'raw']","['rice', 'vinegar', 'sugar', 'salt']","Sushi is a dish made by combining vinegared rice with fresh ingredients such as raw fish, vegetables, or eggs to create a balanced, flavorful bite. The rice, seasoned with rice vinegar, sugar, and salt, provides a subtly sweet and tangy base. Sushi comes in various forms: hand-pressed rice topped with thin slices of fish or other toppings, known as nigiri; rolled sushi, where rice and fillings like cucumber, avocado, and fish are wrapped in seaweed, known as maki; and other variations, each showcasing different ingredients and presentation styles. Common toppings include tuna, salmon, shrimp, and eel, with accompaniments like wasabi for spice, soy sauce for dipping, and pickled ginger for a refreshing cleanse between bites. Each element is carefully balanced to highlight the freshness and natural flavors of the ingredients, making sushi both visually appealing and delicious.",0,['fish'],"['salt', 'nigiri', 'ginger', 'shrimp', 'sushi', 'spice', 'egg', 'fish', 'cucumber', 'vinegar', 'salmon', 'sugar', 'soy', 'bite', 'sauce', 'form', 'rice']",cold,300
Gamjatang (Pork Bone Soup),"['earthy', 'hot', 'soft']",Korean,"['rice', 'stew']","['Potato sweets', 'potatoes', 'poachin', 'sesame leaves']","Gamjatang, or Pork Bone Soup, is a hearty and spicy Korean soup made from pork neck or spine bones simmered for hours to create a rich, flavorful broth. The dish features tender pork meat that falls off the bone, along with napa cabbage, potatoes, and sometimes perilla seeds or leaves, which add a unique, nutty depth to the flavor. Red chili paste (gochujang) and chili powder (gochugaru) are added to the broth, giving it a spicy, vibrant red color and bold taste. Gamjatang is typically garnished with green onions, perilla leaves, and sesame seeds, adding a fresh aroma. Known for its warming, robust flavors, Gamjatang is often enjoyed as a filling meal and is especially popular as a comfort food or hangover remedy.",0,['sesame'],"['leaf', 'Gamjatang', 'spine', 'neck', 'onion', 'spicy', 'seed', 'pork', 'Pork Bone Soup', 'paste', 'food', 'potato', 'meat', 'cabbage', 'depth', 'chili', 'soup', 'powder', 'gamjatang', 'hearty', 'sesame', 'bone', 'gochugaru', 'gochujang', 'aroma', 'Korean', 'tender', 'perilla', 'color', 'broth']",warm,700
Samgyetang (Ginseng Chicken Soup),"['Nutty', 'mild', 'refreshing']",Korean,"['rice', 'stew']","['Chicken', 'Samgyetang Yongjaejae', 'Glutinous Rice', 'Garlic', 'Salt', 'Leek']","Samgyetang, or Ginseng Chicken Soup, is a nourishing Korean dish made with a whole young chicken stuffed with glutinous rice, garlic, jujubes (Korean dates), and ginseng. The chicken is slow-simmered until the meat becomes tender and the flavors meld into a light, aromatic broth. The ginseng gives the soup a subtle earthy flavor and is believed to have restorative properties. Additional ingredients, such as chestnuts or ginkgo nuts, are sometimes added for extra depth. Samgyetang is often garnished with green onions and is traditionally enjoyed during the hot summer months as a health-boosting dish, thought to replenish energy and promote resilience. This soup is loved for its clean, comforting flavors and the wholesome qualities of the ingredients.",0,[],"['Samgyetang', 'property', 'onion', 'resilience', 'ginseng', 'garlic', 'energy', 'chestnut', 'chicken', 'meat', 'subtle', 'depth', 'soup', 'the hot summer months', 'Ginseng Chicken Soup', 'ginkgo', 'samgyetang', 'summer', 'Korean', 'nut', 'jujubes', 'promote', 'rice', 'date', 'broth']",warm,600
Mala Hot Pot,"['Numbing', 'spicy']",Korean,"['rice', 'stew']","['Beef', 'squid', 'cutting', 'Heidirao', 'oyster', 'egg cabbage', 'bean sprouts', 'Chinese flat', 'tteokbokki']","Mala Hot Pot is made with a rich, spicy broth infused with Sichuan peppercorns, dried chili peppers, garlic, ginger, and a blend of aromatic spices, creating a bold, numbing heat and a deep red color. The broth is typically prepared by simmering beef tallow or vegetable oil with these spices, resulting in an intense, fragrant base. A variety of raw ingredients, such as thinly sliced meats, seafood, tofu, mushrooms, vegetables, and noodles, are cooked directly in the simmering broth at the table, absorbing its spicy, savory flavors. Diners often enjoy dipping each item in a side sauce to balance the heat and customize the taste, making the dish both interactive and flavorful, with a signature combination of numbing and spicy sensations.",0,"['shellfish', 'eggs']","['numbing', 'sichuan', 'ginger', 'sensation', 'spice', 'mushroom', 'spicy', 'tallow', 'beef', 'pot', 'meat', 'mala', 'absorbing', 'Sichuan', 'peppercorn', 'sauce', 'diner', 'seafood', 'color', 'tofu', 'oil']",warm,750
